searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,tweet
yesware,250129153,2018,05,15,16,42,15,0,0,3938,9616,@vcbuzz A5 @yesware is another great tool. It’s built to increase your sales but it works nicely for blogger outrea… https://t.co/U7d9cVLlNc
yesware,31014489,2018,05,10,01,36,10,0,39,342,2978,Just spent 20 minutes on the phone with @sheenadesa talking about yesware client engagement and streamlining reporting. For fun.
yesware,120609474,2018,05,11,13,34,11,0,1,1165,2161,Do you have killer #accountmanagement skills? Love to work with clients on strategy that will drive major #revenue?… https://t.co/IZnfPPtJTE
yesware,18243941,2018,05,15,18,02,15,2,0,468,805,RT @VentureFizz: Check out May's hottest #BostonTech jobs in the latest #CareerForward ft @GoCatalant @SmartBear @Carbonite @yesware @Cray…
yesware,17901310,2018,05,11,17,36,11,0,0,1906,2207,@yesware Please clarify - have you been deleting data from user accounts in advance of GDPR without notifying subscribers?
yesware,700370498,2018,05,13,08,21,13,0,1,28,12,How To Find Email Addresses: 13 Free Tools Tips And Tactics https://t.co/kLoGXmqupY via @Yesware
yesware,36375099,2018,05,11,08,18,11,0,0,101,83,How To Write A Pitch That Actually Converts Prospects - https://t.co/VGv4fBHG6R via @Yesware
yesware,353766222,2018,05,10,05,46,10,0,2,2437,2732,18 Gmail Extension Time-Savers To Supercharge Your Inbox - https://t.co/yd9PwftmQ3 via @Yesware
yesware,9951312,2018,05,14,09,21,14,1,0,435,366,RT @Akita: Our head of sales lists his favorite budget prospecting tools - https://t.co/Uzk9Q2R3sn including @linkedin @salesforce and his…
yesware,36375099,2018,05,11,08,16,11,0,0,101,83,Mobile Email Research: How People Use Email at Work - https://t.co/GkVfTWrhrX via @Yesware @aaronmetosky
yesware,192640294,2018,05,10,20,50,10,0,0,908,1231,@lkherman Email tracking systems like Yesware Boomerang help too. Simplest way to know if someone received your… https://t.co/e60itulO0F
yesware,763480494,2018,05,14,06,39,14,0,1,269,124,@yesware Hi YesWare is taking over my inbox and I didn't install it. I've checked my Chrome extensions and YesWare… https://t.co/dZlQj8fq1b
yesware,23625211,2018,05,15,18,00,15,2,4,15151,19116,Check out May's hottest #BostonTech jobs in the latest #CareerForward ft @GoCatalant @SmartBear @Carbonite… https://t.co/2WgM53ziC2
